0:32.79095:-117.0624:1:00BA7888
1:32.79726:-117.06936:1:00BBF920
2:32.4866:-117.06395:1:00BBFA10
3:32.78162:-117.18077:1:00BBFB08
4:32.78607:-117.14765:1:00BBFC00
5:32.91392:-117.17345:1:00BBFCF8
6:32.8826:-117.13324:1:00BC0DF8
7:32.50719:-117.01211:1:00BC0EF0
8:32.63921:-117.05402:1:00BC0FE8
9:32.79368:-117.14399:1:00BC10E0
10:32.91734:-117.18759:1:00BC11D8
11:32.744:-117.23007:1:00BC1550
12:32.78609:-117.09:1:00BC16B8
13:32.72366:-117.16561:1:00BC1910
14:32.83022:-117.11196:1:00BC1640
15:32.91747:-117.24427:1:00BC17A8
16:32.5833:-117.01269:1:00BC1820
17:32.53194:-117.08418:1:00BC14D8
18:32.78721:-117.11672:1:00BC15C8
19:32.82132:-117.19879:1:00BC1730
20:32.82106:-117.23541:1:00BC1988
21:32.80898:-117.1629:1:00BC1898
22:32.68363:-117.21606:1:00BC12F8
23:32.74723:-117.03857:1:00BC1370
24:32.77344:-117.08885:1:00BC13E8
25:32.84998:-117.17227:1:00BC1460
26:32.73914:-117.08291:1:00BC32E8
27:32.47005:-117.0233:1:00BC3DB0
28:32.70568:-117.02573:1:00BC35B8
29:32.45797:-117.07131:1:00BC3BD0
30:32.63187:-117.02982:1:00BC3900
31:32.93116:-117.09873:1:00BC33D8
32:32.64399:-116.99087:1:00BC3630
33:32.87085:-117.17815:1:00BC3EA0
34:32.80628:-117.03641:1:00BC3C48
35:32.91697:-117.1397:1:00BC3450
36:32.7703:-117.04697:1:00BC34C8
37:32.78442:-117.2238:1:00BC3360
38:32.7791:-117.11177:1:00BC3CC0
39:32.95658:-117.17548:1:00BC3180
40:32.75777:-117.05882:1:00BC36A8
41:32.8066:-117.18327:1:00BC3720
42:32.7316:-117.1079:1:00BC3798
43:32.87149:-117.05054:1:00BC3810
44:32.93698:-117.14654:1:00BC3540
45:32.72677:-117.01185:1:00BC3888
46:32.81709:-117.0044:1:00BC39F0
47:32.59736:-117.08851:1:00BC3A68
48:32.89394:-117.15578:1:00BC3108
49:32.80073:-116.99368:1:00BC31F8
50:32.70998:-117.18322:1:00BC3978
51:32.81155:-117.22877:1:00BC3270
52:32.68298:-117.0839:1:00BC3B58
53:32.64861:-117.01043:1:00BC3D38
54:32.53774:-117.00455:1:00BC3AE0
55:32.7025:-117.06608:1:00BC3F18
56:32.784:-117.14165:1:00BC3090
57:32.93536:-117.12946:1:00BC3F90
58:32.92555:-117.10198:1:00BC1A00
59:32.9671:-117.26904:1:00BC8308
60:32.74844:-117.08187:1:00BC86C8
61:32.50146:-117.07594:1:00BC8CE0
62:32.42609:-117.0688:1:00BC8650
63:32.89132:-117.24678:1:00BC88A8
64:32.85762:-117.1692:1:00BC8F38
65:32.76458:-117.12996:1:00BC8D58
66:32.59385:-117.11906:1:00BC8920
67:32.70369:-117.24546:1:00BC83F8
68:32.71223:-117.23615:1:00BC8C68
69:32.86225:-117.05498:1:00BC8DD0
70:32.57184:-117.02561:1:00BC8380
71:32.8957:-117.23094:1:00BC81A0
72:32.70815:-117.03804:1:00BC8218
73:32.69503:-117.22642:1:00BC8998
74:32.57759:-117.01946:1:00BC80B0
75:32.82385:-117.17404:1:00BC85D8
76:32.45945:-117.01931:1:00BC8E48
77:32.91329:-117.07886:1:00BC8EC0
78:32.88833:-117.0449:1:00BC8290
79:32.49038:-117.0799:1:00BC8A10
80:32.79643:-117.07961:1:00BC8470
81:32.92336:-117.08275:1:00BC84E8
82:32.49589:-117.01074:1:00BC8A88
83:32.78647:-117.12394:1:00BC8560
84:32.85624:-117.12746:1:00BC8128
85:32.80394:-117.05535:1:00BC87B8
86:32.73549:-117.08043:1:00BC8B00
