ID,lat,lng,mag,obsvTime,hypoCentDist,regionID
7101,32.42836,-116.91488,0.60089391757904,13.710162182162,52.701956348231,2
7101,32.42836,-116.91488,0.12017878351581,12.142125971225,52.701956348231,2
7102,32.49439,-116.77012,0.57030481462589,14.540742384252,64.361584305496,2
7102,32.49439,-116.77012,0.11406096292518,12.621675741485,64.361584305496,2
7103,32.33146,-116.91606,0.42698716503773,13.951636876927,56.287273760428,2
7103,32.33146,-116.91606,0.085397433007547,12.281545540951,56.287273760428,2
7104,33.07279,-116.97411,0.43393061133068,15.69404559208,74.114315692854,2
7104,33.07279,-116.97411,0.086786122266135,13.287555191732,74.114315692854,2
7105,33.26956,-117.35912,0.45112529336627,15.041977382026,81.970553501637,2
7105,33.26956,-117.35912,0.090225058673253,12.91107239147,81.970553501637,2
7106,33.12079,-117.06419,0.44245333308543,14.439238475325,74.093594686272,2
7106,33.12079,-117.06419,0.088490666617085,12.563070713236,74.093594686272,2
7107,32.59404,-116.98285,0.54780858937263,13.208458267514,45.254305737263,2
7107,32.59404,-116.98285,0.10956171787453,11.852458584015,45.254305737263,2
7108,32.553,-116.89991,0.428954951501,13.491084603432,52.346826876693,2
7108,32.553,-116.89991,0.085790990300199,12.015637761796,52.346826876693,2
7109,32.99083,-117.20761,0.62476905308418,13.259462278431,55.768068618923,2
7109,32.99083,-117.20761,0.12495381061684,11.881906627269,55.768068618923,2
7110,33.12916,-117.31765,0.49343871887936,14.254920385664,67.299666804167,2
7110,33.12916,-117.31765,0.098687743775873,12.456651492878,67.299666804167,2
7111,33.13068,-117.03811,0.49788930498363,14.680568190688,76.194283244271,2
7111,33.13068,-117.03811,0.099577860996726,12.70240657661,76.194283244271,2
7112,33.01978,-117.27769,0.58387578903814,13.626351708952,56.583074719147,2
7112,33.01978,-117.27769,0.11677515780763,12.093736552513,56.583074719147,2
7113,32.75465,-116.67658,0.40489314979452,15.090238815752,76.126136890799,2
7113,32.75465,-116.67658,0.080978629958904,12.938936960596,76.126136890799,2
7114,32.74958,-116.84688,0.52085000276407,14.100388633625,61.341336479503,2
7114,32.74958,-116.84688,0.10417000055281,12.367429927035,61.341336479503,2
7115,32.88905,-116.84837,0.51876989586319,14.307501856373,68.412887108143,2
7115,32.88905,-116.84837,0.10375397917264,12.487010309684,68.412887108143,2
7116,32.56696,-116.83277,0.60937779357279,13.810712087584,58.430556834553,2
7116,32.56696,-116.83277,0.12187555871456,12.200180189136,58.430556834553,2
7117,32.94758,-116.79548,0.46027222139893,15.129380699101,76.033817658595,2
7117,32.94758,-116.79548,0.092054444279786,12.961536200405,76.033817658595,2
7118,33.20431,-116.96776,0.51298017800135,15.34865690907,86.379605533725,2
7118,33.20431,-116.96776,0.10259603560027,13.088139092997,86.379605533725,2
7119,32.61913,-116.69445,0.47046830513802,14.67900916955,71.412544335551,2
7119,32.61913,-116.69445,0.094093661027605,12.701506448932,71.412544335551,2
7120,33.12912,-116.93941,0.52233259948362,15.385153561034,80.939225237734,2
7120,33.12912,-116.93941,0.10446651989672,13.109211062953,80.939225237734,2
7121,33.36743,-117.40514,0.39376261509187,16.158916152671,92.4097865092,2
7121,33.36743,-117.40514,0.078752523018374,13.55595620824,92.4097865092,2
7122,33.33637,-117.22791,0.48475413840548,16.045003696948,91.04523217626,2
7122,33.33637,-117.22791,0.096950827681096,13.490186892002,91.04523217626,2
7123,33.45822,-117.15336,0.37777114369097,16.371220596675,105.65054393224,2
7123,33.45822,-117.15336,0.075554228738194,13.678533831798,105.65054393224,2
7124,32.84228,-115.31387,0.2378806169832,23.912068843625,201.55257406516,4
7124,32.84228,-115.31387,0.047576123396641,18.032372311562,201.55257406516,4
7125,33.46647,-117.10912,0.3284575274935,18.478457249714,107.61907808412,4
7125,33.46647,-117.10912,0.0656915054987,14.895183169581,107.61907808412,4
7126,32.68509,-115.53628,0.26852383781933,20.922433461613,178.96095772175,4
7126,32.68509,-115.53628,0.053704767563865,16.306254885458,178.96095772175,4
7127,32.76556,-115.34375,0.25404839225804,23.428622842194,197.66182714272,4
7127,32.76556,-115.34375,0.050809678451607,17.753246444685,197.66182714272,4
